"bund_nr","team","datum","status","re_form","re_lage","neigung","exposition","anmerkung"
90516,"-1",2006-01-01,20,"-1","-9",0,"fla",NA
30524,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30525,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30526,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30527,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30528,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30529,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30530,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30531,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30532,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30533,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30534,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30535,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30536,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30537,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30538,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30539,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30540,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30541,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30542,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30543,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30544,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30545,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30546,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30547,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30548,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30549,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30550,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30551,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30552,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30553,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30554,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30555,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30556,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30557,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30558,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
30559,"-9",1970-01-01,-9,"-9","-9",-9,"-9",NA
